county_id,county_name,population,population_change,num_born,num_dead,birth_excess,total_immigration,internal_immigration,swedish_immigration,foreign_immigration,total_emigration,internal_emmigration,swedish_emigration,foreign_emigration,total_net_migration,internal_migration,swedish_migration,foreign_migration
0860,Hultsfred                                         ,14 589,31,43,33,10,465,55,281,129,456,94,351,11,9,-39,-70,118
0821,Högsby                                            ,6 156,45,8,16,-8,229,35,83,111,175,69,99,7,54,-34,-16,104
0880,Kalmar                                            ,67 213,295,208,139,69,1 388,381,792,215,1 159,380,735,44,229,1,57,171
0861,Mönsterås                                         ,13 487,47,50,32,18,243,107,80,56,220,109,109,2,23,-2,-29,54
0840,Mörbylånga                                        ,14 974,50,49,38,11,308,149,128,31,266,152,106,8,42,-3,22,23
0881,Nybro                                             ,20 352,63,57,52,5,371,141,143,87,310,129,165,16,61,12,-22,71
0882,Oskarshamn                                        ,26 883,15,64,69,-5,395,138,178,79,371,100,254,17,24,38,-76,62
0834,Torsås                                            ,7 069,59,17,29,-12,156,47,83,26,86,33,50,3,70,14,33,23
0884,Vimmerby                                          ,15 726,-5,38,37,1,236,50,125,61,242,66,168,8,-6,-16,-43,53
0883,Västervik                                         ,36 556,51,88,102,-14,477,101,278,98,415,53,353,9,62,48,-75,89
0980,Gotland                                           ,58 464,246,152,149,3,1 012,.,887,125,786,.,756,30,226,.,131,95
